148, 179
717, 952
112, 969
846, 727
535, 473
282, 31
147, 357
144, 719
64, 372
587, 396
172, 604
986, 503
243, 133
714, 628
952, 859
268, 792
219, 189
904, 525
86, 189
107, 50
444, 185
560, 222
443, 219
121, 582
766, 765
963, 719
22, 65
790, 38
379, 994
735, 63
661, 935
384, 443
264, 139
710, 989
278, 372
226, 135
634, 249
831, 339
619, 175
599, 915
439, 496
704, 964
627, 304
253, 133
895, 663
771, 89
218, 421
167, 212
514, 338
183, 157
154, 971
753, 721
83, 264
451, 869
197, 343
750, 785
195, 601
757, 525
297, 467
349, 633
168, 881
28, 583
466, 550
555, 163
460, 874
913, 162
156, 195
861, 291
950, 156
75, 477
134, 172
366, 227
99, 711
225, 694
738, 116
557, 851
568, 336
34, 3
500, 105
948, 955
483, 19
266, 651
39, 892
705, 108
127, 940
1000, 544
689, 40
939, 616
6, 231
70, 47
166, 532
348, 982
893, 654
413, 974
560, 977
538, 192
378, 458
663, 65
346, 37
451, 819
420, 805
984, 16
261, 861
755, 10
138, 493
529, 91
159, 998
125, 27
34, 782
145, 399
494, 281
90, 50
413, 188
605, 355
293, 813
745, 263
578, 488
143, 718
92, 124
581, 607
473, 595
447, 544
306, 716
699, 321
929, 116
826, 338
701, 842
508, 685
466, 518
231, 988
567, 932
853, 451
150, 854
172, 760
459, 155
30, 855
524, 821
212, 468
668, 932
738, 153
555, 671
694, 198
508, 92
729, 886
903, 538
527, 982
108, 303
75, 776
76, 634
589, 792
947, 821
981, 884
339, 181
134, 389
861, 480
514, 891
732, 795
450, 443
981, 909
432, 328
656, 296
516, 832
284, 973
56, 266
148, 226
966, 249
91, 443
734, 468
44, 110
439, 652
183, 893
426, 12
619, 868
800, 278
315, 247
129, 302
813, 24
811, 363
551, 26
478, 669
110, 839
77, 499
512, 921
389, 830
200, 423
982, 686
661, 271
95, 153
377, 188
99, 262
838, 825
34, 54
623, 472
864, 994
670, 327
553, 354
217, 490
50, 786
812, 777
557, 131
141, 77
441, 867
65, 24
66, 750
224, 173
711, 977
477, 807
683, 584
464, 454
823, 384
679, 193
648, 917
210, 122
308, 674
464, 334
876, 446
689, 850
759, 446
792, 104
212, 671
748, 144
579, 944
854, 571
971, 501
65, 507
777, 365
395, 598
461, 734
490, 356
937, 349
651, 956
554, 143
549, 841
576, 662
698, 505
17, 842
350, 185
568, 444
867, 84
851, 952
358, 182
811, 741
172, 47
434, 644
922, 358
629, 241
798, 149
384, 841
688, 503
352, 477
695, 359
488, 533
482, 13
298, 338
793, 256
476, 419
647, 498
384, 811
153, 722
566, 717
179, 886
332, 466
375, 999
643, 177
952, 299
766, 10
666, 75
460, 695
771, 405
483, 91
576, 153
609, 34
706, 72
413, 49
725, 649
785, 317
245, 923
190, 518
461, 136
131, 372
537, 931
751, 161
694, 891
65, 214
416, 578
109, 110
95, 461
725, 839
740, 23
897, 187
501, 67
422, 845
976, 659
285, 160
404, 214
196, 96
415, 907
238, 98
526, 480
897, 50
323, 477
854, 368
283, 143
729, 976
567, 297
957, 56
844, 446
107, 523
655, 396
411, 930
45, 299
753, 868
827, 183
373, 681
279, 454
531, 742
991, 734
852, 397
221, 961
60, 157
916, 237
425, 238
491, 391
721, 219
857, 538
765, 478
377, 132
435, 553
353, 866
325, 178
236, 122
562, 902
183, 704
476, 829
904, 980
20, 693
477, 909
529, 956
444, 790
363, 392
412, 563
727, 542
952, 896
221, 144
618, 130
188, 564
973, 162
654, 441
516, 737
825, 902
455, 462
655, 939
382, 57
927, 376
253, 666
294, 251
804, 363
181, 6
433, 719
835, 126
347, 935
322, 581
839, 37
521, 734
648, 260
207, 833
846, 81
103, 9
73, 534
242, 254
135, 48
187, 173
460, 876
643, 266
23, 342
861, 773
140, 389
772, 343
206, 788
602, 232
295, 138
314, 727
986, 751
150, 475
569, 870
887, 596
618, 631
869, 586
164, 978
151, 490
736, 985
955, 212
616, 143
307, 811
348, 19
754, 610
632, 563
787, 966
873, 751
705, 132
525, 386
315, 783
475, 50
819, 858
886, 392
827, 985
46, 841
414, 944
989, 715
614, 371
635, 289
541, 592
901, 290
215, 727
520, 928
789, 898
853, 593
286, 943
36, 581
674, 390
824, 465
993, 150
130, 758
762, 819
296, 103
895, 111
908, 246
322, 800
