4751, 1456
1937, 1741
976, 48
1512, 2650
2077, 3299
136, 109
881, 755
1184, 443
3392, 1265
1997, 4387
2848, 2269
348, 3444
4795, 423
992, 4797
4641, 4631
4032, 4321
233, 2488
4521, 2072
2879, 757
1640, 646
3921, 1784
2366, 2419
2090, 648
2939, 1724
4340, 1075
2035, 528
162, 2526
146, 489
2729, 1356
1339, 2251
2531, 3907
2362, 23
2813, 1057
1294, 3513
4145, 2690
2504, 4259
4624, 2851
2336, 424
1797, 3630
4235, 3316
4880, 2929
727, 4162
3184, 1695
734, 4408
426, 1414
2026, 1082
4690, 2049
1338, 1729
4513, 3649
1820, 473
3055, 3544
1604, 1776
209, 3289
2584, 1325
867, 2048
4183, 4207
1937, 2977
2539, 2624
4895, 2406
4805, 205
764, 491
2013, 4649
1769, 183
3034, 1179
1693, 736
391, 4534
296, 4409
1016, 4877
3532, 2789
2972, 3087
1956, 1793
3284, 3145
821, 4177
240, 3874
4115, 4494
2191, 3510
2360, 2513
1777, 2668
2874, 1072
1650, 1476
3482, 4963
1738, 4605
4857, 2911
788, 1104
1850, 395
2020, 2223
2023, 1144
767, 3957
811, 3335
1631, 1891
4291, 2708
1371, 128
4147, 4604
1894, 3152
3500, 4860
3999, 97
1836, 4791
4771, 1943
3351, 2260
3075, 2476
1649, 909
2800, 1522
1077, 2798
3012, 396
123, 4917
481, 766
303, 2433
4900, 459
3903, 3107
2632, 4494
2757, 2106
4814, 1357
1174, 2768
1823, 2254
547, 95
2710, 1782
2871, 581
3163, 999
3524, 2867
4492, 370
468, 2743
1436, 2200
4940, 4744
213, 299
2245, 2564
2952, 3819
2226, 838
1997, 580
4963, 2591
893, 4142
4933, 3172
2615, 2452
4194, 2587
1086, 139
4046, 2583
1264, 1269
710, 2526
3138, 2108
638, 1841
3437, 187
1499, 4097
4342, 3195
1252, 1416
3640, 281
2443, 1010
3799, 4673
3542, 1083
3584, 2355
1093, 1162
2656, 2321
441, 2708
1277, 2405
4343, 3826
30, 4766
4397, 1439
2074, 3261
2742, 2094
2636, 290
1609, 240
3313, 668
934, 2008
2038, 4222
2254, 3247
104, 3221
4464, 3919
1508, 2254
2428, 1236
1250, 2633
1513, 2028
3838, 4174
2121, 2242
1658, 603
4411, 1190
3737, 1198
4485, 3133
1784, 550
